,algorithm,size,iterations,time_ms
227,forwardchecking,10,83,0.881794
228,forwardchecking,10,83,0.532513
229,forwardchecking_mrv,10,35,0.644193
230,forwardchecking_mrv,10,35,0.638033
231,backtracking,10,102,0.499533
232,backtracking,10,102,0.418413
233,forwardchecking_mrv,10,35,0.630843
234,forwardchecking_mrv,10,35,0.612764
235,forwardchecking_mrv,10,35,0.446712
236,forwardchecking,10,83,0.508983
237,forwardchecking,10,83,0.643693
238,forwardchecking_mrv,10,35,0.415033
239,backtracking,10,102,0.295951
240,forwardchecking_mrv,10,35,0.481052
241,forwardchecking,10,83,0.529723
242,forwardchecking_mrv,10,35,0.391682
243,backtracking,10,102,0.279752
244,forwardchecking,10,83,0.509703
245,forwardchecking_mrv,10,35,0.403552
246,backtracking,10,102,0.356612
247,backtracking,10,102,0.302921
248,forwardchecking,10,83,0.506663
249,backtracking,10,102,0.339552
250,backtracking,10,102,0.484973
251,forwardchecking_mrv,10,35,0.360892
252,forwardchecking,10,83,0.822445
253,forwardchecking,10,83,0.539353
254,forwardchecking,10,83,0.819384
255,backtracking,10,102,0.421822
256,backtracking,10,102,0.482613
257,forwardchecking_mrv,10,35,0.521193
258,forwardchecking_mrv,10,35,0.360362
259,backtracking,10,102,0.281922
260,backtracking,10,102,0.424242
261,forwardchecking,10,83,0.561673
262,backtracking,12,261,1.076655
263,forwardchecking_mrv,10,35,0.511092
264,forwardchecking,10,83,0.635943
265,backtracking,12,261,1.531398
266,forwardchecking,10,83,0.670624
267,backtracking,12,261,1.022055
268,forwardchecking,10,83,0.576763
269,forwardchecking_mrv,10,35,0.424372
270,backtracking,12,261,1.519428
271,forwardchecking_mrv,10,35,0.438642
272,backtracking,12,261,1.358377
273,forwardchecking_mrv,10,35,0.637513
274,forwardchecking_mrv,10,35,0.630894
275,forwardchecking,12,193,1.735379
276,backtracking,12,261,1.316837
277,forwardchecking,12,193,1.398838
278,forwardchecking,12,193,1.290977
279,forwardchecking,12,193,1.618678
280,forwardchecking,12,193,1.488198
281,backtracking,12,261,0.964305
282,forwardchecking_mrv,12,153,2.255091
283,forwardchecking_mrv,12,153,2.007591
284,forwardchecking,12,193,1.786049
285,forwardchecking_mrv,12,153,2.173412
286,forwardchecking_mrv,12,153,2.403703
287,backtracking,12,261,1.251686
288,forwardchecking_mrv,12,153,2.627244
289,backtracking,12,261,1.491947
290,forwardchecking,12,193,1.719089
291,backtracking,12,261,1.042766
292,backtracking,12,261,1.506868
293,forwardchecking,12,193,1.423137
